"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
4406791,8112551.5,,40884368,11921940.25,3165570.813,37265079,32729279.23,6350144,27995673.73,39324752.77,18629944.5,8133386,25760225.55,6791165,26769545,4313820.5,15249943
,,,,,,358032.5938,,,,,1161853.5,,177324.5938,,,,
,,,,,,,,,,,202569.7344,,,,,,
,86963.22656,,1128818,59642.28516,,2003850.5,761929.75,,759176,893375.875,3047998,,588949,,374489.625,12838.63477,81857.74219
502836.5,295484.6191,415161.2813,2313197.16,505895.4531,,2205820.25,1422118.25,207410.3594,2134675.25,2327907.25,14054462,345769.6563,1284804.125,342949.8125,3309874.75,145725.2813,917876.0625
,,,,,,,,,261423.1602,805233.9375,152944.9219,,235028.9531,,658994.0625,,40567.5625
1783953.539,1582646.813,1297002.721,4296932.713,1034683,251851.3281,5404860.498,3964620.48,862175.5,4589080,3535323.25,14639625.52,3193185.25,4211053.76,1186303,4072950.504,238398.8906,5623072.625
,,,,,,,,,,,1017423.375,,,,,,
1355090.125,887688.9375,1256812.625,2303565.438,291793.3359,17953.16602,1068686,1475338.844,5104345,882698.5938,1020831.25,2903160.75,1095947.25,611607.4375,352791.9375,256170.4531,138451.7969,245346.8906
,,,,,,,,,,,315698.75,,,,,,68049.67969
,,,,,,162322.7656,59626.52734,,41490.87109,,445947.125,,,,,,
,,,63770.25391,,,74294.89844,49903.53906,,47488.84766,,557436.8125,,98341.28125,,75331.82813,,59163.48828
,10530.88379,,,,,39062.57031,,,,,804279.125,,,,,,
5320980,5841059.5,7023679,18540121.24,2912549.063,932510.875,23386082.81,14385051.22,5171123,10819726.61,27284492.43,18278245.2,6149865.5,14592293.2,36248.74219,7733507.602,809907.1875,2898611.906
,,,,,,,,,,358862.25,,,,,786567.4375,,
,,,933602.875,143420.3594,67936.60938,,207973.7969,,501400,4500873,969515.125,,1464048.25,,2795210.75,189714.7344,222878.1563
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,386929.9063,,,,,,
9132.90918,4927.758789,,297617.4375,,19418.03125,925516.9375,281774.625,,411774.2188,355910.3125,6142442,,109520.1328,,601899.1875,,90980.10156
,,,,,32457.75977,439090.1875,176002.75,,109137.6563,,1895583.375,,,,200321.4531,39449.14453,
,,,,,,159727.1094,25491.03906,,,,619232.625,,,,39381.16797,,
,,,81266.4375,,,,80366.15625,,,,2431817,,,,,,
,,,,,,,,,,,,,,,,,
217247.6406,1640671.336,520273.8438,2190232.053,616395.1992,408361.3438,122545.5625,752558.5156,,656485.75,7566765.5,120935.8047,551160.875,2633477.516,,5880562.746,1555768.555,1085835.75
,,,,,41744.67188,399691.9375,293633.5625,,205928.75,225652.5,669735.875,,,,,,66021.28125
,,,1534442.25,259128.6953,62171.4375,1768908.625,805635.375,,1352960.625,1767069.25,2455531,6407.120117,1307066.25,,800327.3125,,238320.6563
,,,227672.4063,,,204004.2813,59888.15234,,409635.1563,560143.25,1941539.625,,276217.5313,,803877.3125,,
1690234.25,161052.0938,,,39808.20313,,,127601.3438,,115687.0234,81610.46875,,,67896.23438,,,,44827.10156
,,,421027.0625,,200687.9375,806475.75,372785.9688,,371768.6875,,2915174,,,,874778.4375,,347016.25
,,,,,,,,,,,,,,,,,
