"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
,,,,,58662.72266,,,,,,645691.5625,,,,,,422944.1563
,,,914454.125,106204.9297,8142.82666,903412.75,665341.1875,,391425.8955,1134299.75,260244.0781,,438723.8125,,110698.3359,,73003.75781
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3232419,13380360,8702513,8292379.127,2905846.875,2344063.063,6187887.828,5424085.789,4566423.5,1465330.891,9163425.461,2744716.512,2643497.5,9274343.371,3877155.25,2605252.625,671373.5,1444466.313
991947.625,8428558,5985371.375,27749725.34,1856069.094,529252.0625,27194952,45165353.02,14661705.19,6882444,21250422,3908015.738,958500.0625,13461770,3793721.063,2160820,254803.8594,3165136.25
,,,1755998.063,,,830421.8125,1345497.781,,156504.2031,1433974.75,,,2409155.297,,,,
,,,1089611,141556.7969,167989.2656,2828367,563019.5,2233936.5,112529.0703,1989210.25,355582.9063,,940460.75,1291829,813321.875,294778.6875,731822.9375
12836921.5,8186607.969,5653066.5,16549735.15,3083753.75,3617161.375,18888098,9324176.203,6968457,2766638,18221056,3742449.625,5064760.439,15733379,3220954,9641982,2712485.051,3688497.75
90278889.75,44536948.63,42206680,68589368.78,22779952,18987763.88,51987142.42,91313950.66,48843564,33086864,86305362.47,32857052,19769120,42894919.16,6897440.5,24880308,7046241.5,6167778.617
,,,,,,,,,,,444047.625,,,,,,89735.85938
,,,,64008.50391,116879.4453,,,,,,978849.5,,,,,,1507823.875
,,,,,7995.030762,,,,,,3809650.5,,,,,,813366.875
916219,1404790.75,,8830579,140345.0977,,3040758.805,2763850.75,3065936.5,267549.1523,815183.5645,506188.6328,2544564.141,539996.1836,,116334.2188,54186.56641,45733.99219
,7463629.5,1294199.375,1966296.5,,473239.8125,14208566,1020306.625,15325642,650847,13054883,5985629,,8139561,,676553.625,,663489.625
,,,144958.1875,,,140061.0938,146096.625,,53322.94141,139222.8281,407608.2813,,91985.9375,,,,
,,,39019.63672,91908.13281,10588.22852,,694172.1875,,,846044.0625,2904802,,616294.8125,,,,341552.4375
,,,1276497.375,197460.125,21144.91406,1644556.625,1689743.375,,1091477.625,2684174,2683708.5,4937.366211,2155151.5,10919.31348,3034003.25,59372.51172,814427.5
,,,25117.36133,,,,,,,,257102.1563,,,,23107.22266,,
,,205394.6094,684321.375,107634.7656,74623.07031,1236683,596065.3125,454119.125,886374.6875,940326.625,3312686.5,384925.8125,1496545.5,743587.5625,852092.5625,170331.0156,816785.0156
409951.25,,1129292.25,2892106.813,184752.6201,42672.01514,1000858.611,959095.3809,2017383.5,99312.26855,3132268.734,527914.2305,,822018.9023,,5762618.5,,504400.2148
,,,,,,638911.5625,584567.875,,112555.2031,254646.5938,99884.78906,6344.834961,,,169192.125,,
373851.8438,5246390,744476.125,6562739.25,1396195.125,579751.9375,6580443.5,2966675,4531752.5,797806.5625,5469904.5,2636579.5,709793.6875,4978819.25,,168447.2031,88551.85156,947903.1875
,5201669,,1822048.125,438584.3438,182833.625,12908723,2296685.25,10618945,1295930.375,10476378,4556466,,10814944,,,,617336.5625
2219139.75,,18196462,435748.6328,205198.7578,1062515.86,429406.0039,824989.8379,9837907,125258.7344,905768.293,6115413,,1302186.625,14068094,143506.7344,1345052.875,4134913.625
,,5181738.5,,94839.00781,1002696.438,,,1215158.25,,284260.6875,4393517.039,,1344304.25,2640644,,455032.8125,2820818.445
,,,404618.8125,,45019.67578,,,,101306.4922,1145967,188390.7813,,,,1782741.75,295901.875,193197.0156
,,,239090.0313,69864.67188,46203.43359,,,,60749.44141,2540127,526443.3125,,913008.625,,1941441.938,,115398.2422
,,,245042.625,21952.45508,,131622.4844,,,28469.03516,1190670.75,1004276.938,,,,,,
8132.976563,,4484.704102,,,,,,,,,785358,,,,,,
,,3886.067627,255530.125,32201.15625,,287931.6563,202891.6094,,140798.625,152277.7031,1987747.75,,106355.6328,,65182.35156,,
14437873.63,11547613.01,7184379.625,76139045.16,20076732.79,1785175.459,63698624.34,49822119.86,3193559.027,61298241.21,75252617.04,43951222.34,14156315,48593945.63,4151577.41,103907352.2,3835423.344,28947476.49
67899.89063,13191.79199,,,,,137172.25,,446269.1875,42470.54688,,245740.7031,,45343.90625,,136510.0313,,25627.29102
,,,115389.6797,,,245297.9063,113786.0703,,143907.3594,216987.9688,203879.1563,,292476.9688,,326916.3125,,22337.60938
,,,,174954.3906,,,1316729.754,,,1347678,,,14352482,,45997.42969,,8127.408691
2248388.781,1947930.125,1281884.438,2136364.234,434298.8281,320832.1406,5518611.688,3707813.25,743676.625,1693704.469,4262147.25,18204729.5,2843014.813,11041852.25,2123771.844,3639684.422,455072.2734,1515995.922
,,,756966.75,,150245.7969,828748.3672,1452780.5,,449990.9063,1040268.25,721560.9375,,,,,,
,,,211692.0313,,,112294.8203,48748.33203,,200202.5469,979135.625,464747.9688,,84524.67969,,1313055,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,9232.830078,,727974.4375,,,,,,109737.2891
182181808,37078465.26,24010020,97584331.09,7049580,2434596,75550693.98,163144271.3,75309808,40899708,67885100.74,23463109.97,46774876,40579008,13819903.66,12123630,,7868622
57312984,20375986.37,11327862.87,41410536.1,794012.332,654110.1973,92761838.88,173157462.5,22269867.16,52142646.48,44754925.51,29883792.95,13505378.88,5152086.141,8045106.969,263287.6582,2106967.723,
1019141.813,1292534.25,1795213.5,2340041.5,448178.2813,276511.6875,2831952.75,2089274.875,1332033.75,1649453.957,2846914.75,1808184.719,1016229.75,2274558.5,,652226,227095.4063,187282.3125
,,,142443.3125,61264.55078,,,78431.5625,,,,564257.6875,,,,,17975.45703,
,,,,178857.6563,,84933.34375,379326.6875,,,702243.0625,486829.5938,,1601330.5,,,33168.48047,291796.7188
,,,315336.0313,,,553775.1973,282035.0938,,209811.8438,394071.5,3331411.234,,203431.5625,,625111.5625,,14716.28711
,,,246467.5781,,,,,,,120235.5703,,,,,,,
124980502.1,19747343.06,26001909.75,173552099.3,9588776.563,2740054.441,102486210.2,187189920.5,11146315.13,60049837.92,88228480.12,31859981.02,23427250.92,68601386.62,692165.1992,9641658.234,1760800.35,8354730.366
85081312.99,43772036.31,41434765.23,288929537.5,16613868.61,6726586.031,161539369.2,207281969.9,110365010.9,70746922.34,124805606.8,83887100.88,22647570.78,90524079.7,18055813.4,51166628.96,1291849.625,10594880.06
,,,,,5549.34082,,,,45993.88281,87160.64063,919483.4375,,148558.125,,80805.26465,6179.785645,9374.709961
2682953.563,719013.625,1567213.5,4414393.012,119708.751,32977.27539,6836987.996,6326321,3286357.125,2990715.336,5809633.531,2792677.41,1004633.188,2995633.342,,98138.88281,,185758.1094
,,,,,,,,,,,,,,,,,
,,1430637.875,61668.14844,,6656.313477,151116.6719,69720.29688,,68786.02344,84655.53906,19070.45508,,399525.8438,,,,24666.63867
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,548291.293,,41282.32422,63053.53906,,252055.7656,52018.57813,,297497.0938,1152280.625,,424368.4844,10232.34082,,,638288.4375
,,,433881.3438,9205.612305,,,,,,,,,,,,,
213951.125,492093.6875,433256.8472,4804219.008,407413.7676,61173.78711,6260145.887,5239920.871,739302.25,3215057.26,10291344,7375811.5,593171.6875,4246531.5,1068069.875,10272467,,756910.375
,,,,,,,,,,,,,,,,,
,,,2640241,184099.625,,1030491.766,847468.125,1040570.313,1072487,1158256.25,866738.25,1837209.766,,724954.1875,,169041.2656,
1298754.43,680395.2148,1671739.5,4142516.693,681058.5322,157238.7969,1041592.992,4412172.297,47188.86328,2635139.092,4148793.445,4353208.875,1679693.068,4183844.883,346109.0693,2986409.125,141027.1953,1121064.5
,,,,,,,,,,,,,,,,,
,,,,40493.62891,49848.24219,,204486.6719,,,271198.5,1242901.25,,390610.1563,,,,686653.3125
,,1393144.875,509355.6563,26004.30469,55767.64453,,233427.0156,807305.1875,,328087.8438,1614736.355,,518877.0742,1352578,517547.9688,83394.11719,1296509.375
27026846,4392194.5,16113915.29,24874126.23,1824191.313,470143.7734,9848210.855,14180677,34049781.61,9356926.207,15561117.9,1344482.406,9701265,3487003.75,1464267,4621466.043,174782.2949,5198148.094
,,,94339.85156,,,77792.17188,215954.6875,,58439.79688,,676337.6875,,49204.54688,,36445.48828,,
14795200,3925256.5,12405668.54,18983085.28,1192467.064,156556.4004,10299873.47,13465172.25,15392279,7059716.117,16206245.07,2300076.75,5174279.313,2822374.25,1018229.313,4895241.5,,686493.9375
,,,875629,,,1191201.875,1305547.25,,299667.5625,840410.875,1042973.813,,364978.625,,61501.50391,,54961.22656
4321202.25,1034521.5,2387436.453,7574669.051,338183.5703,,4562243.5,5699485.5,13617543.63,,9733029,,1488730.625,,409804.125,,206141.1094,
,,,71737.73438,,,,,,,,456723.7813,,,,,,204368.3281
,,231584.625,383291.9375,86414.85938,27962.96094,453087.0938,447056.6406,439014.3125,553863.25,97148.35938,775041.8125,175875.5156,398474.3047,260500.1563,561809.6289,20539.53711,175082.3906
,,,126124.6211,62416.24023,45307.77148,,,28639.10938,18311.97266,77010.32031,477878.9023,,,,30258.32813,15754.12305,762740.875
,6976.205078,,,,,,,,,167995.2656,3156925.75,,,,,,
,,,189111.5781,,22682.13086,,,,,368955.4688,,,,,,,
,,,,,,,,,,,,,,,,,
610820.1875,422725.9375,,,,,,,465234.2188,,,,,,314149.8438,,,
6487184.18,1089657.75,7736525.494,8357412.449,924149.9258,56584.85156,3014654.744,7653421.738,12768728,2354404.5,12162288.63,1219664,2811996,68811.73438,429489.3438,5203668.871,,175397.1406
,,,133738.9844,104482.2891,70232.02344,172364.4688,88105.95313,,107120.7578,,1246133.875,,,,,,
11079314.78,10019457.89,9612720.028,51725350.69,7769087.51,1287516.16,44475652.87,29006507,4966414.184,50106023.96,46190558.13,30421121.6,13012539.62,27279250.03,6049802.969,61902484.74,622004.4375,13844280.84
19501118,26082554.02,31705334.52,96784435.27,19733546.25,2941342.25,46294917.61,41806337.17,31596880,59428524.77,65785680.17,50465654.58,25253144,49016534.32,27950888,58082693.6,5653538.273,20791615.43
347137,,,,,,,,,,,,,,,,,
,,,,67324.98438,,,68619.08594,,32325.61523,,1389830.125,,,,103100.75,31370.93164,67318.07813
,,,,,,,,,,,,,164576.4375,,,,
,,1162413.5,,,,,105113.7969,,,200879.8398,476617.6875,,500343.4688,747601.5625,105903.4844,,71089.22852
,,,352097.375,,,559417.25,611949.375,,,,,,142552.8594,,,,
1130514.973,103158.9766,33340736,439426.7813,774214.7344,1829927.712,502919.6563,1763923.771,5874453,388572.3125,3184117.477,17491558.2,,5744742.27,19573404,403420.9688,318795.1875,15618950.63
1732796.659,3447554,1158972.967,3592239,113514.2422,36989.55957,2698167,523627.3438,2447931.25,1443796.07,2437995.813,1379344.977,4051617.718,1814267.375,6815336.5,7192981.5,352452.6641,2358493.09
,,,,,,,35664.96875,,,,,,118523.7266,,665169.0625,,
8174658.977,4468922.803,4048235.873,15000889,1203463.188,180722.7988,12440394,13011909.12,13585447.96,4193623.75,8642515.148,4531753.797,3842960.5,5358945.473,516834.875,1137444.5,67093.97266,11786963.81
177051.2656,,2187503.285,60589.64844,88527.23438,196351.1875,,204087.9531,697437.5322,34374.98438,616992.125,4521429.5,,853537.5381,1528520.625,39239.60938,40686.15625,1541198.625
1795028.125,175536.625,52280.96094,46214.04297,20396.33789,34763.85938,,,,,,,,,,,,
,,,,32556.96484,,,,1282099.625,,,,1586074.375,,2982851.75,,108024.7266,
,,6426.009766,2956840.32,259076.918,,1284971.634,1815868.008,24405.96338,1674874.066,2261868.957,2350392.907,6523.990723,1388180.125,,1089420.141,14857.80664,123436.7305
,,,195007.3438,,,414791.9688,,,61697.57422,928477.3125,140480.8438,,360358.6875,,525952.375,196876.7939,116689.9199
,,,2259652,270525.0938,,1243662.625,1248544.5,,710044,6932838.5,1362199.625,,1797462.125,,2974600.75,,204119.8281
,,,83499.96875,,,125544.1172,,,,,1066180.875,,,,,,
,,,458028.25,15076.14551,,38196.28516,99989.32813,,156506.3125,229526.9219,179747.7969,,,,,,
351819.25,,575423.875,3381666.688,286810.25,136785.1992,5087334.375,1629187.734,1262520.625,1631593.469,3627059.063,1760469.184,2505109.5,3648566.563,2912137.25,1678471.125,670937.8828,3523116.719
8058291.875,4602686.273,15273066.5,9749369.754,824253.4688,9576.209961,9026148.41,9225818,16039765,5777945.5,9408252,7786153.008,22430795.5,12366422.37,7090687.785,5179547.07,998504.0859,1783526.732
,,,,,46537.46094,724686.75,263484.9688,,,,,,334138.8438,,,,76970.94531
,,,,,,,75383.32813,,29737.20508,,,,110748.6172,,417923.6563,,
,,,1338472.238,64455.99902,23531.14746,940239.4023,636673.6875,,145174.5625,4732275,975144.875,,,,6321318.5,,145002.6719
,,,376160.9063,21661.89648,5286.03125,462865.125,225947.5469,27520.96484,32567.38086,3146496.25,492190.7813,,718629.375,,,,
,,,,,,,,,,,,,,,,,
,,,,36476.8125,,295559.0938,14861.26074,,188774.5938,899102.5625,478366.7188,,1925420,,3786652,,367149.9375
197691.0625,12150.62305,,498369.1563,,32699.19727,85829.86719,115579.5078,1318479.719,72222.15625,62709.64453,73474.96875,,59646.45703,137424.0781,839882.127,,
,,,,,,135758.0625,69158.60938,,,77274.64844,910470.9375,,44424.61328,,,,122882.4063
1448431.375,674328.625,968744.3125,1794518.25,169008.2813,20456.73828,1879126.125,1542467.121,2019092.75,553835.5,1250905.75,657491.25,,724017.4375,,613964.6875,,106900.8438
,,,,,,,,,,,285263.3438,,,,,,
,,360308.6563,602217.625,52893.82813,,529658.5,572187.8281,489778.25,256860.3906,480715.4375,154136.4063,,283654.3125,,57777.21484,,248908.2227
,,,215825.5469,,,1750488.063,60383.93359,1218210.375,32350.89453,847619.1719,100773.2734,,716077.6094,,,,181637
,,,79598.05469,,,,,,52251.46875,,,267398.9688,138379.9531,210647.9219,148704.2344,,
1199167.5,,2182165.25,,,,166344.0469,334578.0313,2235681.5,96165.17188,416464.6563,1488703.125,,719889.5625,1737099.875,197658.0313,,718491.6875
32037680,15105311.93,34802768,81974227.05,3311389.617,869659.8125,187896056.9,34356467.13,269036352,36766402.84,34253532.91,12258831.96,16706036,17573040.17,5043476,16520756.58,54898.83594,1793739.531
5809298,429200.0625,4165004.25,,,,,17714.70117,24668.67383,,,,2134031,,,,,
2319869.25,76687.80469,,,,,,,,,,,64059.54688,,,106441.5078,,
168784723.5,44048219.39,137740766.7,259001700.8,63742566.81,5429953.262,429683963.1,149221013.5,119875317.6,52878837.05,190333250.6,147868697.7,60793409.49,33192389.11,5715432.969,27449063.87,3712823.425,22147744.51
23379196.81,15132.00488,,,5754382.244,12187.48633,,15807927.95,,11435.91211,17499854.62,101220.791,4596.426758,33532630.72,,,1332707.703,172905.9375
,,,,,,,,,,,785818.8125,,,,,,
,,,284756.6875,,60609.13281,103063.2891,,,,1100422.625,878294.875,,,,563821.75,,
29063333.42,27125344.92,40606130.27,75854747.34,8880843.273,2896140.594,151909455.4,134084532,128400491,34032711.66,67607541.62,61061217.02,27929192,63705801.75,7811477.25,15787096.68,,6158418
33663985.67,3721231,27967419.19,39973371.52,5539488.354,652139.9375,12537862.33,23865369.83,13311843.56,11690303.59,18971618.68,2749647.48,6284563.459,4177474.012,2614730.52,33775463.94,516961.8223,6772247.947
,,,215439.7656,232800.5,86013.38086,747875.4375,415439.625,,243072.7656,232393.1406,1191608.875,,1444095.188,,2168404.281,,
,,,,75532.58594,,,495045.0625,,,1778904.125,,,3137746.5,,,,
11599623,7896423.319,2487793.88,8513051.33,388480.3105,195824.5928,10676923,14101646.27,,6121655.162,13700585.91,5234986.971,184918.0156,19115873.48,,3236022.549,,327065.4434
9046.021484,532904.1836,159954138.3,37091934.5,519821.6406,2748045.67,52695476.23,27084043.92,1116076.123,202959421,380267696.2,12556441.69,,391304950.4,26762066,17037198.11,54050442.54,2282598.453
,,,37053.05078,,,517801.5,,,80455.78906,52564.42578,447354.8438,,,,54786.43359,,
329707259.5,216895828.3,237062768,563229173.8,164579117.7,95257678.93,1147433171,761177435.7,749652756.2,247257013.5,739436730.9,481951418.4,194395821.1,352867196.5,65130031.66,115011124.1,58492492.78,124514274.5
,,,772219.75,527050.1875,53605.12891,545380.875,389315.625,,603913.1875,1023873.375,216623.0625,,597677.625,703274.625,308365.6875,,
,,,510889.7188,84198.71875,69703.96094,1367563.125,441858.5,,332326.8125,650153,2513578.5,,913453.875,,607094.75,225466.8281,1449013.5
392718.7813,309925.3164,925362.8125,2054730.941,394445.2461,,3030911.754,2351656.402,,2294874.625,2214358.305,10435560.38,,3170474.625,,1742115.438,297391.0313,656068.75
,,,2496620.938,51355.25,,1293872.25,515338.3438,,1835562.039,967888.4531,426827.4463,,459678.2188,,18501.7793,,7406.444824
27957282.38,3873296.141,30409670.52,23547040.4,5824587.094,531988.2651,13613277.03,36785053.28,28575499.97,21495725.25,22134470.48,2637139.971,14584621,5084163.948,3664103.645,45570004.56,1027495.836,2770827.25
,129128.75,,183586.5313,75356.60938,43749.02344,88485.58594,143720.7813,,538926.8125,392097.4375,521589.4063,,2262291.508,,1050682.125,18854.37891,189051.7813
485407.2969,1254728.594,1846363.656,971673.9375,262350.9688,12038.41016,1323857.695,1360542.375,893424.3125,316452.25,1429383.875,677678.9375,523915.2344,865856.5,1789041.371,107363.3125,99943.55078,236140.9141
,,,127154.2344,,17782.07813,241664.8281,,,124197.3906,,,,367487.6875,,,92457.78125,583763
,,,533270.5,,201026.25,561344.9375,375527.875,,599758.5,1102533.125,941054.8125,451013.6875,1228622.25,,857205.1875,77290.50781,390634.75
,,145143.6406,,94583.14063,128257.9434,1249603.781,959789.0938,,284515.1875,1063911.813,385585.4063,,472605.5313,,,55068.59375,
,,,,,35143.19531,,,,,,1197332.875,,,,,,
,,,1264264.875,,17177.69678,1961261.5,548989.6875,,193147.6523,705913.375,1007216.938,,753742.8965,,739925.375,,114031.4727
,,,,,28515.54492,,,,,60773.04297,372657.375,,,,,,59295.91016
,,,,899297.875,,,1069918.875,,,6598940.906,448639.625,,18986800.31,,,787292.125,
597660.376,772636.625,,5258557.125,217379.5703,27055.45313,1699137.25,1008783.063,229486.8906,1283224.344,7621401.375,1251346.25,410562.5,948954.375,289599.7188,1821277.156,,564340.7969
,,651124.9375,19345.77832,35437.24219,55627.77148,176598.6172,188174.8926,12628.30957,22093.99316,228478.3975,2552208.869,,263875.3574,231425.0313,62724.99805,13214.77832,352683.2305
410906.1875,,,96473.00781,43959.81641,84709.67969,72819.60156,67758.95313,,63272.93359,,134189.3125,,,,,,23437.23242
,,,465857.375,,,,,,15367.46484,,464885.1875,,,,410758.8438,15128.00195,224640.1719
,,,3824831.852,479436.5703,,1509287.031,1580005.125,,1916509.418,4778907,41257.23047,,1746840.203,,4238080.719,66664.56055,1193053
,,,563316.5625,178985.2656,129838.3203,167943.3906,143752.0938,,708870,1832897.672,937173.6016,,1369701.189,,7524785.074,,414899.125
14318870,15829.54297,7452179.5,23235728.78,2403331.201,432589.1875,23409621.74,11706772.47,17379158.57,8696287.492,12889985.99,5203126.883,659517.6875,6588866.141,727922.0625,17040176.51,359153.6211,1974309.773
,,,298275.8438,,,,,,,501330.25,409341.3438,,,,946854.375,144659.9844,939735.75
580304.5625,,658262.875,1168375.875,299893.2813,183946.9063,1191243.762,968908.8438,1909987.5,513385.7969,1785465.438,1840081.5,1037956.25,1672458.938,705108.125,1989725.875,154433.8438,567196.5273
,,,,,,,,,,,1070743.75,,,,,,
1658437.625,,,46119.71484,356974.625,,,697919.375,,,795174.625,230069.5723,,2295476,,105412.125,104159.5137,25269.21094
1455110,,,,,,36688.49609,,,,50642.67578,,562057.9375,,,,,
,55532.58594,,,,,,,,,,277535.1563,,,,,,
,,832996.875,49908.50781,31348.3125,25847.31201,28255.46875,253877.7813,,25214.84961,,972495.1875,,693917.9492,2233808,299450.4688,,526618.625
9278.306641,,,,,,,41306.65234,,22636.88281,,1188553.188,,,,,,28920.57813
,,,,,23160.04688,88125.60938,,,,,427690.0625,,,,,,86980.88281
,,,202541.5156,230720.1094,515067.2188,71699.20313,34907.55859,,438321.5313,2289055.5,1751156.5,,1722120.625,,3571379.75,,252737.7344
,,,,,,,,,,416721.8438,54822.03125,,152139.0781,,,,
,,,,37342.30078,24589.89258,,20384.30078,,,2364734.25,257993.6563,,1073073.625,,1428978,,
,,,2136277.25,,533934.1875,41311.46094,4960382.5,,587338.0625,2103633.75,3582261.75,,566713.375,,413080.5938,,607978
200350.4375,,211504.6563,,143771.9844,,91582.1875,797058.0625,,214800.125,,1505204.625,190321.3438,,,93677.25781,78759.125,
2172162.426,225763.5156,,3451778.201,417068.3125,87485.74902,1570012.492,1384759.609,,2174026.75,1313279.75,245631.0469,148767.3125,752213.1992,,66226.78125,,159748.5586
802777.4375,207985.4219,281719.6563,1085245.125,96689.91406,25348.85547,837396.625,2206707.703,420305.9375,352431.0313,744919.3125,313800.8125,,441628.707,31515.11914,79957.84375,,49809.92969
,,,145515.3906,,30503.17578,422082.9063,218500.8672,,95536.94531,73819.14063,805531.0313,,235600.0313,,,172593.9453,48649.97656
341727.9063,242623.1875,,182802.375,,,264491.1563,178611.3906,,,,,,438728.25,,454237.0625,,
17035.38281,22228.97266,,,,,,,,11815.73828,,495294.75,,,,,,
,,,212604.3125,,,254982.8125,219441.6094,,,1222979.5,308943.5625,,1083021.375,,425906.1875,,104651.7813
857970.3125,521902.9375,706390.0625,1601412.875,,,2726236.5,1263470.875,1203891,584973.0625,1404991,840972.8125,425956.4375,662523,,234189.7031,,118096.0703
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,415891.9688,21033.87891,8275.077148,841381.8945,636952.875,,347819.7813,1209725.063,4161079.875,,312231.5313,,268584.1875,,183033.8867
,11000.39551,,521688.3125,,,1153635.125,694231.3125,,646206.875,3349957,1367901.719,,1633674.75,,697789.625,129398.3359,
,,,,,,,,,31701.38477,72593.71094,707691.1875,,,,,,
,4291.866699,7477.226074,979647.5859,499391.0625,,1134255.75,10347015.5,,296339.5313,399687.4688,4098758.996,,206830.1719,,190155.7969,,52295.58984
,,,,,,166228.25,48981.5625,,,77269.1875,3179250.75,,,,,,
,,,,835333.5,,,587260.875,,,1561811.375,,,12271905.2,,,1060348.5,
5481391,,,,7271100,109669.0586,33769.07422,19672919.5,,,25524749,145836.5938,,44338332,,,7642093,213067.2344
,,,3580260.25,311968.4063,151636.0469,2448681.25,550944.75,,1697884.625,5916290.5,2164530,,449033.4688,,4056615.5,,1696876.25
,,,,,,1636450.125,436190.7813,,275770.4063,1746846.125,717479.75,,2348326.5,,1135216.5,,38271.75781
,,,,,28187.13086,196371.4063,68527.85938,,163609.5156,102529.8281,630793.1016,,702378.625,,502553.9063,85616.82813,617177.75
,,2020854.656,,,794742.875,89569.47266,64649.81055,1001982.375,,,3784248.75,,,1897757.469,,,1475244.5
197694331.9,72217165.88,31056588.56,268979296.4,18714132.01,4649935,210775850.5,317228422.8,79587647.19,74444168.14,74963139.66,52111186.67,47475736.22,36462640.64,10667292.28,18834979.18,7213984.563,16348590
,,,,,,,,,,,,,,,,,210632.4375
,,,,,,,,,,765325.25,,,175142.1875,,,,
,,,,,,113011.5859,38612.80469,,71798.10156,44387.63281,1528020.375,,59335.11719,,65146.20313,,
,,,,,,,,,32358.12109,85561.16406,275596.3125,,,,,,
,,,183005.0469,,,111912.4688,,,,,,,,,,63388.05469,207958.9219
,,,365748.875,,,395354.9688,274217.4688,,105458.2031,1317140.375,117195.9883,,230814.3906,,200762.5781,,
70152022.88,103048528,87378096,429162459.1,35240068,28538727.04,790875191.2,364066636.3,307773008.7,148015314,340256435.3,167303687.8,86911372.06,186553494.9,12659122,20431807.5,9454737.604,36097655.75
1298720.25,9060508,3451338.25,16401779.75,3183098.844,777047.5625,25317481.75,17721506.19,12657572,6789566.813,19164714,24791847.64,1453198.375,26267005.65,1996644,33667183.8,692207.873,1328717.703
,,,,,43575.22266,151455.4375,65574.5,,53292.00391,127557.8047,221265.6719,,502621.0938,,,55222.85156,
271598.125,,,1050616.125,57946.0625,41651.60938,525708.4375,518440.2188,,157950.1563,731848,150517.25,,,,,,
278294.4688,130108.1094,98143.17188,,,7073.012695,420527.9375,71350.24219,51840.51563,,63261.54297,817586.9375,198130.0313,,24632.4668,,,16983.0957
,,,,,,,74928.98438,,,,813934.4375,,,,,,
5701873,8755188,5599150.75,3300337.656,824821.1445,686960.5742,3006424.328,3929897.938,5750714,2476546.125,4458027.313,2065224.258,3105736,2265503.641,5653546.875,1859830.703,1011746.164,839539.5078
,,,,,,,,,,,1021891.313,,105384.5547,,,,
675384.4375,281736.9375,191336.2656,2097292.75,340983.3906,49453.25781,1843770.125,1739305.75,678232.4023,781606.3125,1140899.25,575900.5,447779.2813,680252.4375,82014.15625,492189.5,42962.78711,112940.4688
,,,,,,64990.40234,,,66491.64844,,746976.375,,,,,,
,,,,,,449401.0313,276160.875,,327982.2813,282890.1875,961837.6563,,118301.8594,,88820.96875,,
62075.84375,15335.70117,20860.11133,1392402.75,,9695.728516,1626321.875,1159317.25,,914309.5,1879302.875,7667650,,916584,62172.95117,696669.625,,
1245259.5,1937140.375,1076463.25,10555394,1062740.75,373325.168,5559587.461,4115570,872288.1875,4283749,25866123.23,5304986.5,1547443.75,7087298.902,2564571,11895349.18,1131561.02,4282195.219
,,,,109356.3359,85481.72656,558845.75,,,190150.7656,239939.0625,,,,,122144.4297,80054.85938,115242.3359
,,,,,117155.5625,,,,47077.625,,1064744.75,,,,,,450098.0938
,256236.2188,,628121.7031,38822.13281,31575.83594,676589.4375,582889.375,,284189.9375,,66983.70313,934773.3125,62250.64844,1283962.625,2924134.5,30106.57813,112376.6172
,,,2551319.25,98564.89648,49602.94971,2002257.414,2445655.664,,1636920.991,2225831,3432639.087,,3388526.75,,2341857.75,,320100.7188
1273567.125,561970.8125,1057480.625,3965592.75,419078.75,208951.2969,4125147.5,3554850.5,6506952.5,1626953.375,3719284,1095791.875,717484.75,1904424.25,,278921.2188,110566.4141,337814.7813
,,,,1161140.25,,,9327252,,,5928848.5,,,10634318,,,1183875.25,
,,,,67765.57813,47602.72266,114455.1328,,,,726559.9375,231818.0313,,,,,,
1135766.75,1670203.25,1278012.5,4709757.5,801479.9375,582644.625,2010295.125,1962703.125,722709.375,2912206.75,9303663,2904317.75,1244690.625,4419323.5,1215109.125,10735718,1376925.75,2307520.25
,,,891447.0625,260173,277056.8281,1611815.5,1395859.625,,1066312.719,2049364.938,3094514.641,,1861900,,1003799.195,318278.4063,839790.4375
,,,651201.125,,24505.3457,,,,304949.125,3358698,,,,,1497703.75,112284.3203,
,,,,,,,,,,,367630,,,,,,
598255.1875,1117200.5,76497.97656,4606990,829150.6563,337532.8145,7789179.793,5701470.918,1270773.125,5978343.516,7571482.453,9640208.703,1324131.398,8841151,2571804,5458912.359,791342.3516,3864131.641
,,,,,,14463.18164,,,22511.57422,,1377348.125,,,,,,
,,,,,,,,,,,442654.5625,,,,,,
