File,Sample,Condition,Replicate
1,NCL_VEH_1,NCL,1
2,NCL_LNA_1,NCL,1
3,NCL_ION_1,NCL,1
4,CL_VEH_1,CL,1
5,CL_LNA_1,CL,1
6,CL_ION_1,CL,1
7,NCL_VEH_2,NCL,2
8,NCL_LNA_2,NCL,2
9,NCL_ION_2,NCL,2
10,CL_VEH_2,CL,2
11,CL_LNA_2,CL,2
12,CL_ION_2,CL,2
13,NCL_VEH_3,NCL,3
14,NCL_LNA_3,NCL,3
15,NCL_ION_3,NCL,3
16,CL_VEH_3,CL,3
17,CL_LNA_3,CL,3
18,CL_ION_3,CL,3
